2023-12-16 12:58:50,602 INFO    StreamThr :373 [internal.py:wandb_internal():86] W&B internal server running at pid: 373, started at: 2023-12-16 12:58:50.602387
2023-12-16 12:58:50,603 DEBUG   HandlerThread:373 [handler.py:handle_request():146] handle_request: status
2023-12-16 12:58:50,604 INFO    WriterThread:373 [datastore.py:open_for_write():85] open: /home/steven/Bachelorthesis/dreeam/wandb/run-20231216_125850-dxl1tpnj/run-dxl1tpnj.wandb
2023-12-16 12:58:50,605 DEBUG   SenderThread:373 [sender.py:send():380] send: header
2023-12-16 12:58:50,608 DEBUG   SenderThread:373 [sender.py:send():380] send: run
2023-12-16 12:58:51,124 INFO    SenderThread:373 [dir_watcher.py:__init__():211] watching files in: /home/steven/Bachelorthesis/dreeam/wandb/run-20231216_125850-dxl1tpnj/files
2023-12-16 12:58:51,124 INFO    SenderThread:373 [sender.py:_start_run_threads():1124] run started: dxl1tpnj with start time 1702727930.602787
2023-12-16 12:58:51,128 DEBUG   HandlerThread:373 [handler.py:handle_request():146] handle_request: check_version
2023-12-16 12:58:51,128 DEBUG   SenderThread:373 [sender.py:send_request():407] send_request: check_version
2023-12-16 12:58:51,230 DEBUG   HandlerThread:373 [handler.py:handle_request():146] handle_request: run_start
2023-12-16 12:58:51,274 DEBUG   HandlerThread:373 [system_info.py:__init__():32] System info init
2023-12-16 12:58:51,274 DEBUG   HandlerThread:373 [system_info.py:__init__():47] System info init done
2023-12-16 12:58:51,274 INFO    HandlerThread:373 [system_monitor.py:start():194] Starting system monitor
2023-12-16 12:58:51,274 INFO    SystemMonitor:373 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-16 12:58:51,275 INFO    HandlerThread:373 [system_monitor.py:probe():214] Collecting system info
2023-12-16 12:58:51,275 INFO    SystemMonitor:373 [interfaces.py:start():190] Started cpu monitoring
2023-12-16 12:58:51,275 INFO    SystemMonitor:373 [interfaces.py:start():190] Started disk monitoring
2023-12-16 12:58:51,276 INFO    SystemMonitor:373 [interfaces.py:start():190] Started gpu monitoring
2023-12-16 12:58:51,276 INFO    SystemMonitor:373 [interfaces.py:start():190] Started memory monitoring
2023-12-16 12:58:51,277 INFO    SystemMonitor:373 [interfaces.py:start():190] Started network monitoring
2023-12-16 12:58:51,290 DEBUG   HandlerThread:373 [system_info.py:probe():196] Probing system
2023-12-16 12:58:51,309 DEBUG   HandlerThread:373 [system_info.py:_probe_git():181] Probing git
2023-12-16 12:58:51,313 DEBUG   HandlerThread:373 [system_info.py:_probe_git():189] Probing git done
2023-12-16 12:58:51,313 DEBUG   HandlerThread:373 [system_info.py:probe():244] Probing system done
